,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,0,841121792.0,841121792.0,841121792.0,836337664.0,841121792.0,841121792.0
1,1,1757282304.0,1757282304.0,1757282304.0,1747582976.0,1757282304.0,1757282304.0
2,2,2752249856.0,2752249856.0,2752249856.0,2737635328.0,2752249856.0,2752249856.0
3,3,3835232256.0,3835232256.0,3835232256.0,3815669760.0,3835232256.0,3835232256.0
4,4,5016748032.0,5016748032.0,5016748032.0,4992270336.0,5016748032.0,5016748032.0
5,5,6308855808.0,6308855808.0,6308855808.0,6279331840.0,6308855808.0,6308855808.0
6,6,7725580288.0,7725580288.0,7725580288.0,7690649600.0,7725580288.0,7725580288.0
7,7,9282715648.0,9282715648.0,9282715648.0,9241886720.0,9282715648.0,9282715648.0
8,8,10998251520.0,10998251520.0,10998251520.0,10951589888.0,10998251520.0,10998251520.0
9,9,12892995584.0,12892995584.0,12892995584.0,12840468480.0,12892995584.0,12892995584.0
10,10,14990737408.0,14990737408.0,14990737408.0,14932344832.0,14990737408.0,14990737408.0
11,11,17318903808.0,17318903808.0,17318903808.0,17254645760.0,17318903808.0,17318903808.0
12,12,19869728768.0,19909115904.0,19909115904.0,19838992384.0,19909115904.0,19909115904.0
13,13,22604685473.633522,22797749981.733192,22797749981.733192,22721764592.630634,22797749981.733192,22797749981.733192
