,carrier,node,time_operation,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
1,Aluminium,AUS,1,0.0,0.0,0.0,0.0,0.0,0.0
2,Aluminium,AUS,2,0.0,0.0,0.0,0.0,0.0,0.0
3,Aluminium,AUS,3,0.0,0.0,0.0,0.0,0.0,0.0
4,Aluminium,AUS,4,0.0,0.0,0.0,0.0,0.0,0.0
5,Aluminium,AUS,5,0.0,0.0,0.0,0.0,0.0,0.0
6,Aluminium,AUS,6,0.0,0.0,0.0,0.0,0.0,0.0
7,Aluminium,AUS,7,0.0,0.0,0.0,0.0,0.0,0.0
8,Aluminium,AUS,8,0.0,0.0,0.0,0.0,0.0,0.0
9,Aluminium,AUS,9,0.0,0.0,0.0,0.0,0.0,0.0
10,Aluminium,AUS,10,0.0,0.0,0.0,0.0,0.0,0.0
11,Aluminium,AUS,11,0.0,0.0,0.0,0.0,0.0,0.0
12,Aluminium,AUS,12,0.0,0.0,0.0,0.0,0.0,0.0
13,Aluminium,AUS,13,0.0,0.0,0.0,0.0,0.0,0.0
14,Aluminium,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
15,Aluminium,AUT,1,0.0,0.0,0.0,0.0,0.0,0.0
16,Aluminium,AUT,2,0.0,0.0,0.0,0.0,0.0,0.0
17,Aluminium,AUT,3,0.0,0.0,0.0,0.0,0.0,0.0
18,Aluminium,AUT,4,0.0,0.0,0.0,0.0,0.0,0.0
19,Aluminium,AUT,5,0.0,0.0,0.0,0.0,0.0,0.0
20,Aluminium,AUT,6,0.0,0.0,0.0,0.0,0.0,0.0
21,Aluminium,AUT,7,0.0,0.0,0.0,0.0,0.0,0.0
22,Aluminium,AUT,8,0.0,0.0,0.0,0.0,0.0,0.0
23,Aluminium,AUT,9,0.0,0.0,0.0,0.0,0.0,0.0
24,Aluminium,AUT,10,0.0,0.0,0.0,0.0,0.0,0.0
25,Aluminium,AUT,11,0.0,0.0,0.0,0.0,0.0,0.0
26,Aluminium,AUT,12,0.0,0.0,0.0,0.0,0.0,0.0
27,Aluminium,AUT,13,0.0,0.0,0.0,0.0,0.0,0.0
28,Aluminium,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
29,Aluminium,BRA,1,0.0,0.0,0.0,0.0,0.0,0.0
30,Aluminium,BRA,2,0.0,0.0,0.0,0.0,0.0,0.0
31,Aluminium,BRA,3,0.0,0.0,0.0,0.0,0.0,0.0
32,Aluminium,BRA,4,0.0,0.0,0.0,0.0,0.0,0.0
33,Aluminium,BRA,5,0.0,0.0,0.0,0.0,0.0,0.0
34,Aluminium,BRA,6,0.0,0.0,0.0,0.0,0.0,0.0
35,Aluminium,BRA,7,0.0,0.0,0.0,0.0,0.0,0.0
36,Aluminium,BRA,8,0.0,0.0,0.0,0.0,0.0,0.0
37,Aluminium,BRA,9,0.0,0.0,0.0,0.0,0.0,0.0
38,Aluminium,BRA,10,0.0,0.0,0.0,0.0,0.0,0.0
39,Aluminium,BRA,11,0.0,0.0,0.0,0.0,0.0,0.0
40,Aluminium,BRA,12,0.0,0.0,0.0,0.0,0.0,0.0
41,Aluminium,BRA,13,0.0,0.0,0.0,0.0,0.0,0.0
42,Aluminium,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
43,Aluminium,CHN,1,0.0,0.0,0.0,0.0,0.0,0.0
44,Aluminium,CHN,2,0.0,0.0,0.0,0.0,0.0,0.0
45,Aluminium,CHN,3,0.0,0.0,0.0,0.0,0.0,0.0
46,Aluminium,CHN,4,0.0,0.0,0.0,0.0,0.0,0.0
47,Aluminium,CHN,5,0.0,0.0,0.0,0.0,0.0,0.0
48,Aluminium,CHN,6,0.0,0.0,0.0,0.0,0.0,0.0
49,Aluminium,CHN,7,0.0,0.0,0.0,0.0,0.0,0.0
50,Aluminium,CHN,8,0.0,0.0,0.0,0.0,0.0,0.0
51,Aluminium,CHN,9,0.0,0.0,0.0,0.0,0.0,0.0
52,Aluminium,CHN,10,0.0,0.0,0.0,0.0,0.0,0.0
53,Aluminium,CHN,11,0.0,0.0,0.0,0.0,0.0,0.0
54,Aluminium,CHN,12,0.0,0.0,0.0,0.0,0.0,0.0
55,Aluminium,CHN,13,0.0,0.0,0.0,0.0,0.0,0.0
56,Aluminium,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
57,Aluminium,CZE,1,0.0,0.0,0.0,0.0,0.0,0.0
58,Aluminium,CZE,2,0.0,0.0,0.0,0.0,0.0,0.0
59,Aluminium,CZE,3,0.0,0.0,0.0,0.0,0.0,0.0
60,Aluminium,CZE,4,0.0,0.0,0.0,0.0,0.0,0.0
61,Aluminium,CZE,5,0.0,0.0,0.0,0.0,0.0,0.0
62,Aluminium,CZE,6,0.0,0.0,0.0,0.0,0.0,0.0
63,Aluminium,CZE,7,0.0,0.0,0.0,0.0,0.0,0.0
64,Aluminium,CZE,8,0.0,0.0,0.0,0.0,0.0,0.0
65,Aluminium,CZE,9,0.0,0.0,0.0,0.0,0.0,0.0
66,Aluminium,CZE,10,0.0,0.0,0.0,0.0,0.0,0.0
67,Aluminium,CZE,11,0.0,0.0,0.0,0.0,0.0,0.0
68,Aluminium,CZE,12,0.0,0.0,0.0,0.0,0.0,0.0
69,Aluminium,CZE,13,0.0,0.0,0.0,0.0,0.0,0.0
70,Aluminium,DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
71,Aluminium,DEU,1,0.0,0.0,0.0,0.0,0.0,0.0
72,Aluminium,DEU,2,0.0,0.0,0.0,0.0,0.0,0.0
73,Aluminium,DEU,3,0.0,0.0,0.0,0.0,0.0,0.0
74,Aluminium,DEU,4,0.0,0.0,0.0,0.0,0.0,0.0
75,Aluminium,DEU,5,0.0,0.0,0.0,0.0,0.0,0.0
76,Aluminium,DEU,6,0.0,0.0,0.0,0.0,0.0,0.0
77,Aluminium,DEU,7,0.0,0.0,0.0,0.0,0.0,0.0
78,Aluminium,DEU,8,0.0,0.0,0.0,0.0,0.0,0.0
79,Aluminium,DEU,9,0.0,0.0,0.0,0.0,0.0,0.0
80,Aluminium,DEU,10,0.0,0.0,0.0,0.0,0.0,0.0
81,Aluminium,DEU,11,0.0,0.0,0.0,0.0,0.0,0.0
82,Aluminium,DEU,12,0.0,0.0,0.0,0.0,0.0,0.0
83,Aluminium,DEU,13,0.0,0.0,0.0,0.0,0.0,0.0
84,Aluminium,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
85,Aluminium,ITA,1,0.0,0.0,0.0,0.0,0.0,0.0
86,Aluminium,ITA,2,0.0,0.0,0.0,0.0,0.0,0.0
87,Aluminium,ITA,3,0.0,0.0,0.0,0.0,0.0,0.0
88,Aluminium,ITA,4,0.0,0.0,0.0,0.0,0.0,0.0
89,Aluminium,ITA,5,0.0,0.0,0.0,0.0,0.0,0.0
90,Aluminium,ITA,6,0.0,0.0,0.0,0.0,0.0,0.0
91,Aluminium,ITA,7,0.0,0.0,0.0,0.0,0.0,0.0
92,Aluminium,ITA,8,0.0,0.0,0.0,0.0,0.0,0.0
93,Aluminium,ITA,9,0.0,0.0,0.0,0.0,0.0,0.0
94,Aluminium,ITA,10,0.0,0.0,0.0,0.0,0.0,0.0
95,Aluminium,ITA,11,0.0,0.0,0.0,0.0,0.0,0.0
96,Aluminium,ITA,12,0.0,0.0,0.0,0.0,0.0,0.0
97,Aluminium,ITA,13,0.0,0.0,0.0,0.0,0.0,0.0
